technique,review_id,review_text,true_label,predicted_label,correct,success,retry_count,retry_reasons,extraction_reason,execution_time
zero-shot,70,"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http",1,1,True,True,0,,Direct digit match,0.9221339225769043
few-shot,70,"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http",1,1,True,True,0,,Direct digit match,0.7520143985748291
few-shot-real,70,"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http",1,1,True,True,0,,Sentiment: X pattern match,4.512834787368774
chain-of-thought,70,"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http",1,1,True,True,0,,Sentiment: X pattern match,2.4793620109558105
role-based,70,"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http",1,1,True,True,0,,Direct digit match,0.6774682998657227
combined,70,"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http",1,1,True,True,0,,Direct digit match,1.011237621307373
zero-shot,12,#biodiversité Sciences : le manchot empereur victime du réchauffement climatique http,0,0,True,True,0,,Direct digit match,0.834688663482666
few-shot,12,#biodiversité Sciences : le manchot empereur victime du réchauffement climatique http,0,0,True,True,0,,Direct digit match,1.09074068069458
few-shot-real,12,#biodiversité Sciences : le manchot empereur victime du réchauffement climatique http,0,0,True,True,0,,Sentiment: X pattern match,1.0150344371795654
chain-of-thought,12,#biodiversité Sciences : le manchot empereur victime du réchauffement climatique http,0,0,True,True,0,,Sentiment: X pattern match,4.426229238510132
role-based,12,#biodiversité Sciences : le manchot empereur victime du réchauffement climatique http,0,0,True,True,0,,Sentiment: X pattern match,0.8834357261657715
combined,12,#biodiversité Sciences : le manchot empereur victime du réchauffement climatique http,0,0,True,True,0,,Sentiment: X pattern match,0.7147395610809326
zero-shot,147,Écotaxe : Ségolène Royal s’attaque aux sociétés d’autoroute http #ecologie GreenUnivers,0,1,False,True,0,,Direct digit match,0.7788434028625488
few-shot,147,Écotaxe : Ségolène Royal s’attaque aux sociétés d’autoroute http #ecologie GreenUnivers,0,1,False,True,0,,Sentiment: X pattern match,0.7366597652435303
few-shot-real,147,Écotaxe : Ségolène Royal s’attaque aux sociétés d’autoroute http #ecologie GreenUnivers,0,0,True,True,0,,Direct digit match,0.7927296161651611
chain-of-thought,147,Écotaxe : Ségolène Royal s’attaque aux sociétés d’autoroute http #ecologie GreenUnivers,0,0,True,True,0,,Sentiment: X pattern match,8.108637809753418
role-based,147,Écotaxe : Ségolène Royal s’attaque aux sociétés d’autoroute http #ecologie GreenUnivers,0,1,False,True,0,,Direct digit match,0.9171342849731445
combined,147,Écotaxe : Ségolène Royal s’attaque aux sociétés d’autoroute http #ecologie GreenUnivers,0,0,True,True,0,,Sentiment: X pattern match,0.9313962459564209
zero-shot,85,"""@user: Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",1,2,False,True,0,,Sentiment: X pattern match,1.0454514026641846
few-shot,85,"""@user: Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",1,1,True,True,0,,Direct digit match,0.8132872581481934
few-shot-real,85,"""@user: Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",1,2,False,True,0,,Sentiment: X pattern match,0.6600079536437988
chain-of-thought,85,"""@user: Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",1,1,True,True,0,,Sentiment: X pattern match,2.6772782802581787
role-based,85,"""@user: Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",1,2,False,True,0,,Sentiment: X pattern match,0.804314136505127
combined,85,"""@user: Décollage : en France, la production des éoliennes a augmenté de 19% en un an http http",1,2,False,True,0,,Sentiment: X pattern match,0.9082107543945312
zero-shot,183,#DirectAN : #Thévenoud à la commission du foutage de gueule durable http http,0,0,True,True,0,,Direct digit match,0.6554508209228516
few-shot,183,#DirectAN : #Thévenoud à la commission du foutage de gueule durable http http,0,0,True,True,0,,Sentiment: X pattern match,0.7518281936645508
few-shot-real,183,#DirectAN : #Thévenoud à la commission du foutage de gueule durable http http,0,0,True,True,0,,Direct digit match,0.7040657997131348
chain-of-thought,183,#DirectAN : #Thévenoud à la commission du foutage de gueule durable http http,0,0,True,True,0,,Sentiment: X pattern match,2.604823112487793
role-based,183,#DirectAN : #Thévenoud à la commission du foutage de gueule durable http http,0,0,True,True,0,,Direct digit match,0.7834677696228027
combined,183,#DirectAN : #Thévenoud à la commission du foutage de gueule durable http http,0,0,True,True,0,,Sentiment: X pattern match,1.7073087692260742
zero-shot,206,L'écologie c'est un peu le Arte de la politique : tout le monde trouve ça génial mais personne ne ve...,2,0,False,True,0,,Direct digit match,0.8294684886932373
few-shot,206,L'écologie c'est un peu le Arte de la politique : tout le monde trouve ça génial mais personne ne ve...,2,0,False,True,0,,Sentiment: X pattern match,0.7352395057678223
few-shot-real,206,L'écologie c'est un peu le Arte de la politique : tout le monde trouve ça génial mais personne ne ve...,2,0,False,True,0,,Direct digit match,0.7938308715820312
chain-of-thought,206,L'écologie c'est un peu le Arte de la politique : tout le monde trouve ça génial mais personne ne ve...,2,0,False,True,0,,Sentiment: X pattern match,2.5111069679260254
