technique,review_id,review_text,true_label,predicted_label,correct,success,retry_count,retry_reasons,extraction_reason,execution_time
zero-shot,271,Fil #AFP #Energie Correa promet un plan d'expansion du bio-carburant en Equateur: Quito - Le préside...,1,1.0,True,True,0,,Sentiment: X pattern match,4.104452610015869
few-shot,271,Fil #AFP #Energie Correa promet un plan d'expansion du bio-carburant en Equateur: Quito - Le préside...,1,1.0,True,True,0,,Sentiment: X pattern match,15.811887502670288
few-shot-real,271,Fil #AFP #Energie Correa promet un plan d'expansion du bio-carburant en Equateur: Quito - Le préside...,1,2.0,False,True,0,,Sentiment: X pattern match,31.12264370918274
chain-of-thought,271,Fil #AFP #Energie Correa promet un plan d'expansion du bio-carburant en Equateur: Quito - Le préside...,1,1.0,True,True,0,,Sentiment: X pattern match,26.980087757110596
role-based,271,Fil #AFP #Energie Correa promet un plan d'expansion du bio-carburant en Equateur: Quito - Le préside...,1,1.0,True,True,0,,Sentiment: X pattern match,5.829600095748901
combined,271,Fil #AFP #Energie Correa promet un plan d'expansion du bio-carburant en Equateur: Quito - Le préside...,1,1.0,True,True,0,,Sentiment: X pattern match,14.572175741195679
zero-shot,284,"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieu...",2,1.0,False,True,0,,Sentiment: X pattern match,9.410789728164673
few-shot,284,"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieu...",2,1.0,False,True,0,,Sentiment: X pattern match,4.97449517250061
few-shot-real,284,"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieu...",2,2.0,True,True,0,,Sentiment: X pattern match,4.3600029945373535
chain-of-thought,284,"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieu...",2,2.0,True,True,0,,Sentiment: X pattern match,9.613409996032715
role-based,284,"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieu...",2,1.0,False,True,0,,Sentiment: X pattern match,9.311856508255005
combined,284,"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieu...",2,2.0,True,True,0,,Sentiment: X pattern match,9.025455236434937
zero-shot,221,Les clés pour un développement durable: Pour une approche revisitée des thématiques « développement ...,2,1.0,False,True,0,,Sentiment: X pattern match,9.924138069152832
